id,month,season,hour
/proj/vondrick/datasets/EarthCam/prev_photos/1609449007158_13.jpg,Dec,winter,16
/proj/vondrick/datasets/EarthCam/prev_photos/1609465177974_36.jpg,Dec,winter,20
/proj/vondrick/datasets/EarthCam/prev_photos/1609505513344_85.jpg,Jan,winter,7
/proj/vondrick/datasets/EarthCam/prev_photos/1609438344296_44.jpg,Dec,winter,13
/proj/vondrick/datasets/EarthCam/prev_photos/1609439317203_98.jpg,Dec,winter,13
/proj/vondrick/datasets/EarthCam/prev_photos/1609463465298_83.jpg,Dec,winter,20
/proj/vondrick/datasets/EarthCam/prev_photos/1609390728465_60.jpg,Dec,winter,23
/proj/vondrick/datasets/EarthCam/prev_photos/1609762099810_51.jpg,Jan,winter,7
/proj/vondrick/datasets/EarthCam/prev_photos/1609686623166_38.jpg,Jan,winter,10
/proj/vondrick/datasets/EarthCam/prev_photos/1609598987150_9.jpg,Jan,winter,9
/proj/vondrick/datasets/EarthCam/prev_photos/1609464738708_12.jpg,Dec,winter,20
/proj/vondrick/datasets/EarthCam/prev_photos/1609460168615_91.jpg,Dec,winter,19
/proj/vondrick/datasets/EarthCam/prev_photos/1609465924408_94.jpg,Dec,winter,20
/proj/vondrick/datasets/EarthCam/prev_photos/1610067214417_25.jpg,Jan,winter,19
/proj/vondrick/datasets/EarthCam/prev_photos/1609464860983_44.jpg,Dec,winter,20
/proj/vondrick/datasets/EarthCam/prev_photos/1609427697675_67.jpg,Dec,winter,10
/proj/vondrick/datasets/EarthCam/prev_photos/1609430252499_43.jpg,Dec,winter,10
/proj/vondrick/datasets/EarthCam/prev_photos/1609519568321_79.jpg,Jan,winter,11
/proj/vondrick/datasets/EarthCam/prev_photos/1609389684485_11.jpg,Dec,winter,23
/proj/vondrick/datasets/EarthCam/prev_photos/1610060703972_95.jpg,Jan,winter,18
/proj/vondrick/datasets/EarthCam/prev_photos/1609618258908_23.jpg,Jan,winter,15
/proj/vondrick/datasets/EarthCam/prev_photos/1609470056393_62.jpg,Dec,winter,22
/proj/vondrick/datasets/EarthCam/prev_photos/1609472163175_27.jpg,Dec,winter,22
/proj/vondrick/datasets/EarthCam/prev_photos/1609896654700_22.jpg,Jan,winter,20
/proj/vondrick/datasets/EarthCam/prev_photos/1610046487756_78.jpg,Jan,winter,14
/proj/vondrick/datasets/EarthCam/prev_photos/1609388916324_9.jpg,Dec,winter,23
/proj/vondrick/datasets/EarthCam/prev_photos/1609461168557_2.jpg,Dec,winter,19
/proj/vondrick/datasets/EarthCam/prev_photos/1609465266714_28.jpg,Dec,winter,20
/proj/vondrick/datasets/EarthCam/prev_photos/1609464924117_90.jpg,Dec,winter,20
/proj/vondrick/datasets/EarthCam/prev_photos/1609561269693_62.jpg,Jan,winter,23
/proj/vondrick/datasets/EarthCam/prev_photos/1609748177215_54.jpg,Jan,winter,3
/proj/vondrick/datasets/EarthCam/prev_photos/1609566404340_10.jpg,Jan,winter,0
/proj/vondrick/datasets/EarthCam/prev_photos/1609466618687_10.jpg,Dec,winter,21
/proj/vondrick/datasets/EarthCam/prev_photos/1609445408487_40.jpg,Dec,winter,15
/proj/vondrick/datasets/EarthCam/prev_photos/1609461368368_29.jpg,Dec,winter,19
/proj/vondrick/datasets/EarthCam/prev_photos/1609387181968_51.jpg,Dec,winter,22
/proj/vondrick/datasets/EarthCam/prev_photos/1609888485589_27.jpg,Jan,winter,18
/proj/vondrick/datasets/EarthCam/prev_photos/1609452855922_91.jpg,Dec,winter,17
/proj/vondrick/datasets/EarthCam/prev_photos/1609468208252_93.jpg,Dec,winter,21
/proj/vondrick/datasets/EarthCam/prev_photos/1609477243851_63.jpg,Jan,winter,0
/proj/vondrick/datasets/EarthCam/prev_photos/1609491501437_46.jpg,Jan,winter,3
/proj/vondrick/datasets/EarthCam/prev_photos/1609420535181_40.jpg,Dec,winter,8
/proj/vondrick/datasets/EarthCam/prev_photos/1609465715928_94.jpg,Dec,winter,20
/proj/vondrick/datasets/EarthCam/prev_photos/1609475307779_52.jpg,Dec,winter,23
/proj/vondrick/datasets/EarthCam/prev_photos/1609468647299_36.jpg,Dec,winter,21
/proj/vondrick/datasets/EarthCam/prev_photos/1609477204270_84.jpg,Jan,winter,0
/proj/vondrick/datasets/EarthCam/prev_photos/1609471312885_42.jpg,Dec,winter,22
/proj/vondrick/datasets/EarthCam/prev_photos/1609471843119_35.jpg,Dec,winter,22
/proj/vondrick/datasets/EarthCam/prev_photos/1610072607847_37.jpg,Jan,winter,21
/proj/vondrick/datasets/EarthCam/prev_photos/1609623702426_56.jpg,Jan,winter,16
/proj/vondrick/datasets/EarthCam/prev_photos/1609455001364_32.jpg,Dec,winter,17
/proj/vondrick/datasets/EarthCam/prev_photos/1609695680991_2.jpg,Jan,winter,24
/proj/vondrick/datasets/EarthCam/prev_photos/1609465336372_29.jpg,Dec,winter,20
/proj/vondrick/datasets/EarthCam/prev_photos/1609643613430_22.jpg,Jan,winter,22
/proj/vondrick/datasets/EarthCam/prev_photos/1609473569258_84.jpg,Dec,winter,22
/proj/vondrick/datasets/EarthCam/prev_photos/1609403164351_33.jpg,Dec,winter,3
/proj/vondrick/datasets/EarthCam/prev_photos/1609453840346_62.jpg,Dec,winter,17
/proj/vondrick/datasets/EarthCam/prev_photos/1609429604219_22.jpg,Dec,winter,10
/proj/vondrick/datasets/EarthCam/prev_photos/1609440883962_83.jpg,Dec,winter,13
/proj/vondrick/datasets/EarthCam/prev_photos/1609534930954_87.jpg,Jan,winter,16
/proj/vondrick/datasets/EarthCam/prev_photos/1609457731231_9.jpg,Dec,winter,18
/proj/vondrick/datasets/EarthCam/prev_photos/1609491966411_89.jpg,Jan,winter,4
/proj/vondrick/datasets/EarthCam/prev_photos/1609388919812_48.jpg,Dec,winter,23
/proj/vondrick/datasets/EarthCam/prev_photos/1609469709372_71.jpg,Dec,winter,21
/proj/vondrick/datasets/EarthCam/prev_photos/1609477204270_43.jpg,Jan,winter,0
/proj/vondrick/datasets/EarthCam/prev_photos/1609477299828_98.jpg,Jan,winter,0
/proj/vondrick/datasets/EarthCam/prev_photos/1609455757734_16.jpg,Dec,winter,18
